x,y,z,vx,vy,vz,m,id,Star_Classification
0.88058525,0.41994086,0.13619937,-0.78392893,-0.70006871,-0.13962588,1.56E-05,1797,Isolated
-0.92462635,0.49056521,-0.20645115,-0.1107414,0.33090606,-0.33302125,1.56E-05,4591,Isolated
2.8522666,2.0952303,-0.13016485,-0.14524469,0.10706154,-0.002176914,1.56E-05,5856,Isolated
-0.009016589,1.3649709,-0.27052093,-0.24744602,0.35915852,-0.44290701,1.56E-05,8011,Isolated
0.48930591,-0.66957736,-0.097731717,-0.5220921,0.31743658,-0.54706877,1.56E-05,16750,Isolated
2.9508088,-0.025778785,1.6219174,-0.12895368,0.012924371,-0.065042645,1.56E-05,19600,Isolated
0.79102939,-1.1632857,1.846175,0.000687437,-0.072295398,-0.014527163,1.56E-05,22770,Isolated
0.95343065,-1.9322829,0.44176874,-0.40899679,0.45636433,0.085676476,1.56E-05,26771,Isolated
0.99587053,-0.99339324,0.59805733,-0.28609413,0.025920836,-0.15232338,1.56E-05,35526,Isolated
0.27100727,-0.005225508,1.0807542,-0.038937431,-0.24425483,0.87620938,1.56E-05,46544,Isolated
-0.052196816,-0.043242019,0.52330619,0.1598527,0.51021802,0.27507412,0.000015625,16733,In_Cluster
0.49901062,-0.22582069,-0.10216831,0.23484403,0.64856112,0.17500603,0.000015625,37382,In_Cluster
-3.1805089,-0.86475492,0.3360002,0.20017146,0.05865645,-0.032694101,0.000015625,23650,Isolated
-0.1022242,0.17424668,0.24044973,-0.040446255,-0.4761923,-0.11162742,0.000015625,31785,In_Cluster
-2.6613903,1.8923805,0.12163378,-0.016539905,0.000347277,0.067249954,0.000015625,10466,Isolated
-0.24529737,-0.56502265,0.3547762,0.91503757,0.40835902,0.16282165,0.000015625,59325,In_Cluster
-0.97281194,-0.053878129,-1.8643607,0.69498211,-0.10186791,-0.047267187,0.000015625,36587,In_Cluster
-0.013728434,0.023306768,0.004487147,-0.66781056,0.28808382,-0.31927034,0.000015625,26412,In_Cluster
-1.7202696,-0.64696044,0.085081004,0.54512274,0.34992903,-0.37434986,0.000015625,20442,In_Cluster
0.66401285,-0.67591089,-1.9959596,0.51721811,0.12205553,-0.19517769,0.000015625,56564,In_Cluster
-0.29749361,-0.44986165,1.6721164,-0.11128552,0.57966959,0.09410014,0.000015625,32159,In_Cluster
-1.9710543,-0.23784372,0.59259933,0.20106304,0.18623759,0.086521342,0.000015625,62520,In_Cluster
-1.7400657,0.57390404,0.63335299,-0.43115997,-0.41092905,-0.38429391,0.000015625,57232,In_Cluster
1.0152757,0.36016864,-0.30820549,0.034949616,-0.086880043,-0.59255403,0.000015625,38038,In_Cluster
-1.2029397,0.8223632,0.30631462,0.011538092,-0.19422002,-0.31231448,0.000015625,13026,In_Cluster
-0.016809367,0.04173515,0.043743838,0.28367972,0.096216641,0.010803598,0.000015625,31805,In_Cluster
-0.33353901,0.050209437,0.50906521,0.040938418,-0.090153955,0.78838509,0.000015625,40619,In_Cluster
-1.4309545,-1.0341928,0.64263976,-0.12290224,-0.31006986,-0.71016985,0.000015625,51546,In_Cluster
1.8946059,0.055715024,1.6823039,-0.28386351,0.32994214,0.19130433,0.000015625,11557,In_Cluster
0.37566227,0.36002702,-0.096286759,0.001451153,0.70254314,0.037920102,0.000015625,47276,In_Cluster
-0.05366556,0.11650691,-1.2265645,0.084677547,0.064190648,-0.004316639,0.000015625,29582,Isolated
-1.0697657,-0.36109683,0.16259845,0.04696095,-0.46228036,0.19939551,0.000015625,57524,In_Cluster
-0.038958456,0.22172341,-0.13946734,-0.07689739,0.5052861,-0.39352921,0.000015625,9012,In_Cluster
0.39207354,-0.43330783,-0.042464744,0.22449765,0.31740651,-0.73599637,0.000015625,32257,In_Cluster
0.45047265,0.19137643,-0.21763358,0.13639991,-0.30419716,-0.31809992,0.000015625,40709,In_Cluster
1.8949546,-0.54336596,0.29960418,0.34052193,-0.030338798,-0.015635598,0.000015625,55155,In_Cluster
-0.084161565,-0.13927664,0.21941033,0.47497877,0.067836061,-0.37529644,0.000015625,39295,In_Cluster
-0.18438987,0.054357536,0.27570176,-0.31634691,0.296002,-0.10763486,0.000015625,56544,In_Cluster
1.3901157,0.77361214,-0.3340393,-0.54320312,0.12444212,-0.34573722,0.000015625,2678,In_Cluster
0.88456053,-1.2426031,1.549718,-0.072337806,0.11416312,0.035301231,0.000015625,31070,In_Cluster
0.157984,-0.015738433,-0.076829366,-0.040272672,-0.61112517,-0.023215896,0.000015625,42920,In_Cluster
0.91722447,1.2832339,0.7247715,-0.39752844,-0.46840841,-0.18408579,0.000015625,26765,Isolated
0.32816371,0.38889533,1.2170449,-0.085653804,0.22246978,-0.046799466,0.000015625,48047,In_Cluster
0.27792907,0.051307388,-0.91366345,0.96769667,-0.16341732,-0.54148138,0.000015625,63405,In_Cluster
0.16458997,0.091615349,-1.2265117,-0.016041908,0.30440119,0.48887452,0.000015625,17270,In_Cluster
0.53288937,-0.91541904,1.3113822,-0.067145161,0.028291659,0.021590192,0.000015625,51861,In_Cluster
1.5882332,0.17452814,-0.38207406,-0.46191743,0.063642748,-0.2547124,0.000015625,23205,In_Cluster
-0.11355138,0.22703674,0.031787761,-0.3360889,-0.61344653,0.073385544,0.000015625,882,In_Cluster
-0.99967647,-0.24296908,0.009991743,0.099393994,-0.035662953,-0.43480501,0.000015625,1161,In_Cluster
0.52592552,-0.56890774,-0.22272009,0.015416137,0.6658445,0.65302074,0.000015625,27101,In_Cluster
-0.230317,0.10938698,1.218215,0.10320707,-0.70785099,-0.25004739,0.000015625,61267,In_Cluster
0.69345248,-0.16070399,0.16888788,0.054727077,-0.44710863,-0.50761086,0.000015625,7223,In_Cluster
-0.36783159,-0.069284499,0.30834058,-0.24223769,-0.20339455,-0.32923138,0.000015625,4964,In_Cluster
0.23556221,0.25703123,-0.27889654,0.64011675,0.51603717,0.23031348,0.000015625,53136,In_Cluster
-0.033648994,1.2400481,1.3388411,0.3173928,0.22605771,-0.011150949,0.000015625,14616,In_Cluster
-0.23909269,0.22886942,-0.8772164,-0.60748792,0.2010406,0.3038584,0.000015625,19088,In_Cluster
-0.14191519,0.040931299,-0.28728962,-1.3277174,0.038904775,0.15618291,0.000015625,94,In_Cluster
0.71591103,0.21037154,-0.42980137,-0.43396676,0.44515052,-0.45583338,0.000015625,13093,In_Cluster
-0.69108534,0.6266889,0.96188253,0.32827616,0.25245777,-0.36723316,0.000015625,18693,In_Cluster
1.1106158,-0.74086607,-1.0025697,0.45143762,0.24967681,0.18495974,0.000015625,8340,In_Cluster
0.25336158,1.1469761,0.78508955,-0.73705113,-0.078409761,0.20764463,0.000015625,10922,In_Cluster
1.1178598,0.56931627,-0.40030313,-0.36362484,0.20281927,0.069191478,0.000015625,14972,In_Cluster
0.52247757,-0.61720276,0.012493506,0.19764496,-0.34350958,-0.035635311,0.000015625,22504,In_Cluster
3.5028396,-1.2346164,-0.74716759,-0.062933318,-0.085927412,0.052919906,0.000015625,43364,In_Cluster
0.15943041,0.18633056,-0.12992261,0.048268151,0.32418689,0.41151395,0.000015625,58948,In_Cluster
-0.003364391,-0.23954718,0.35318089,-0.32449117,-0.33701089,0.16854154,0.000015625,34003,In_Cluster
-0.019188546,0.02866403,0.18429521,0.92389846,0.6347822,-0.907004,0.000015625,61874,In_Cluster
